iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,28189672,21.2,0.448,3.163,54.09,0,2177000000,176000000,34000000,48.0,6.95,5500.665,1771.19798501195,10.795637485976465,142000000,23.136865215033367,0.0
ZAF,South Africa,51784921,3.7,0.675,2.331,180.15,1,17804000000,1629000000,386000000,92.0,7.31,8769.679,12771.9105093128,4.633428242069245,1243000000,163.65664595394477,0.0
ALB,Albania,2913021,5.8,0.754,1.881,291.2,1,1465000000,34000000,126000000,14.0,5.78,1499.451,9627.76572880652,-2.657468704752173,-92000000,211.71432845832555,0.0
DZA,Algeria,35856344,4.3,0.721,2.391,228.66,1,8728000000,13000000,3132000000,80.0,14.23,1233.811,13141.1202583704,7.241687473156936,-3119000000,14.755781597811534,0.0
DEU,Germany,81776930,2.5,0.926,1.61,153.51,1,17903000000,5800000000,8456000000,36.0,2.78,789.5815,38952.6946021004,-0.727782021102123,-2656000000,65.41482390816091,0.0
AGO,Angola,23364185,23.9,0.51,2.084,391.18,1,17733000000,0,292000000,312.0,7.91,6384.805,6586.59651396355,15.880324406790086,-292000000,367.8021772084068,0.0
SAU,Saudi Arabia,29411929,5.9,0.816,2.178,131.55,1,2743000000,783000000,3253000000,69.0,3.28,4410.786,48047.7899217541,15.873142004824514,-2470000000,-38.28852095862193,0.0
ARG,Argentina,40788453,3.1,0.834,2.0,129.88,1,29909000000,18768000000,225000000,21.0,11.47,10932.34,18063.9143432506,3.322458521324307,18543000000,603.3912520379236,0.0
ARM,Armenia,2946293,3.7,0.746,2.341,359.95000000000005,1,1339000000,6000000,73000000,50.53846,4.21,3402.57,7331.38650353822,-2.649706623457039,-67000000,94.51939594941842,0.0
AUS,Australia,22031750,2.5,0.923,1.358,166.91,1,6328000000,1279000000,450000000,35.5,2.85,16513.02,39371.6567017347,7.729629984226662,829000000,120.31185028424889,0.0
AUT,Austria,8363404,2.5,0.902,1.371,165.86,1,3279000000,708000000,1408000000,0.0,2.78,975.7691,42009.4385277438,1.1460529003496465,-700000000,226.20524042124475,0.0
AZE,Azerbaijan,9054332,2.5,0.727,2.416,260.21000000000004,1,2769000000,122000000,218000000,33.66667,9.31,3720.199,14678.7737395302,6.715524099687078,-96000000,45.61046251451785,0.0
BGD,Bangladesh,148391139,15.2,0.553,2.217,79.97999999999999,0,13069000000,26000000,2264000000,168.0,13.88,7943.799,2906.05192049693,4.040072374988476,-2238000000,8.09129649432775,0.0
BEL,Belgium,10895586,2.5,0.912,1.491,193.61,1,6607000000,5806000000,4368000000,0.0,2.78,526.3351,39840.0881958103,3.295690028344823,1438000000,412.7823500764438,0.0
BOL,Bolivia,10223270,20.4,0.662,2.115,153.4,1,2743000000,166000000,89000000,48.0,9.76,9905.798,5079.38272115006,7.132254382241101,77000000,114.90945480262187,0.0
BIH,Bosnia and Herzegovina,3811088,2.5,0.725,1.928,352.99,1,1999000000,47000000,298000000,5.210526,3.76,1226.467,9088.31075378121,-6.086563961434035,-251000000,171.532131212924,0.0
BWA,Botswana,2091664,21.5,0.66,1.691,93.0,1,55000000,37000000,139000000,8.0,7.77,8140.749,12139.4985301962,8.44919697371914,-102000000,-66.70514575954837,0.0
BRA,Brazil,196353492,3.7,0.723,2.088,158.95,1,99131000000,11215000000,2048000000,61.04348,13.34,8681.18,14254.5197697447,3.989398788422976,9167000000,345.909877918545,0.0
BGR,Bulgaria,7395599,4.0,0.79,1.679,132.86,1,2812000000,807000000,388000000,4.4,2.78,1802.135,14954.9991114533,-2.7025707858758996,419000000,247.36613178459243,0.0
BFA,Burkina Faso,16116845,13.3,0.372,1.791,104.73,1,2396000000,62000000,34000000,74.5,12.29,3882.356,1454.57874744176,12.57734397057552,28000000,43.93433225609603,0.0
BLR,Belarus,9483836,2.5,0.79,2.204,392.85999999999996,1,10985000000,176000000,296000000,7.346154,7.52,1948.569,15361.8317068326,-1.2606867061103244,-120000000,765.4265836144784,0.0
BEN,Benin,9445710,8.2,0.492,2.213,354.09000000000003,1,7610000000,29000000,23000000,138.0,12.83,4342.712,2302.6877910018,12.413718988731029,6000000,451.5667478781372,0.0
KHM,Cambodia,14363532,11.2,0.54,2.217,168.11,1,5714000000,291000000,16000000,48.0,13.16,9920.646,2418.8360545795,6.571950764291357,275000000,229.70301702116166,0.0
CMR,Cameroon,19878036,7.1,0.513,2.183,292.54,1,9114000000,16000000,59000000,202.0,18.72,4622.562,2882.75070003552,11.980525631511728,-43000000,165.95600030908486,0.0
CAN,Canada,34004889,2.5,0.911,1.474,217.8,1,25181000000,8179000000,4719000000,2.0,3.43,6454.269,40099.4482394377,4.401790982418994,3460000000,522.7111659091138,0.0
CHL,Chile,17004162,3.4,0.813,1.755,143.12,1,4668000000,675000000,782000000,60.0,2.75,11569.81,18104.7245956272,4.099200621993533,-107000000,131.40102608761316,0.0
CHN,China,1337705000,2.5,0.691,2.237,390.77,1,860012000000,14420000000,30171000000,25.93349,8.09,8742.565,9254.77960343715,2.035438055864899,-15751000000,252.13108805753143,0.0
CYP,Cyprus,1129686,3.0,0.857,1.955,132.86,1,202000000,70000000,246000000,18.0,2.78,2849.746,33508.25390625,7.034804507702015,-176000000,45.95074918163098,0.0
COL,Colombia,44816108,12.9,0.726,2.846,151.44,1,7738000000,48000000,4096000000,112.0,11.25,8615.275,10830.1951175574,4.776850581360959,-4048000000,21.221133358568324,0.0
