iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,35643418,23.0,0.482,3.519,91.96,1,2949000000,194000000,1066000000,48.0,6.95,5500.665,2096.09311055337,13.005871144634945,-872000000,-9.22382694274718,223.03030303030306
ZAF,South Africa,56641209,5.5,0.72,2.319,172.66,1,22275000000,3196000000,891000000,92.0,6.67,8769.679,13950.4534760766,5.13719554299084,2305000000,220.60491071191646,-14.326923076923077
ALB,Albania,2873457,4.7,0.802,1.905,353.75,1,1808000000,114000000,101000000,9.0,1.22,1499.451,12773.2683951538,-0.7472992222699658,13000000,275.45725801708534,-5.607476635514018
DZA,Algeria,41136546,2.7,0.744,2.264,271.01,1,13146000000,14000000,4687000000,80.0,12.32,1233.811,11809.4830333846,8.252285107092709,-4673000000,48.55985401739855,-8.152067411326671
DEU,Germany,82657002,2.5,0.944,1.484,172.33,1,20856000000,6337000000,10515000000,36.0,2.48,789.5815,53071.4555699913,2.4941185573596973,-4178000000,79.98982161656431,5.529907667603372
AGO,Angola,30208628,15.4,0.597,2.01,336.8,1,13976000000,1000000,616000000,192.0,10.9,6384.805,7216.06137266999,15.533811486303478,-615000000,125.84928019902128,17.110266159695815
SAU,Saudi Arabia,34193122,3.7,0.86,2.178,115.35,1,1894000000,251000000,5408000000,69.0,4.54,4410.786,45795.513530403,8.60993940188609,-5157000000,-59.95874324374358,36.39344262295082
ARG,Argentina,44044811,3.1,0.851,2.012,135.47,1,56784000000,24947000000,190000000,21.0,12.73,10932.34,23597.117752839,4.364331532866139,24757000000,1153.7624591879846,153.33333333333334
ARM,Armenia,2851923,2.8,0.768,2.267,389.05,1,1590000000,41000000,74000000,38.53846,4.6,3402.57,12509.6396064818,-1.7047720312885053,-33000000,168.46855853050732,-1.3333333333333335
AUS,Australia,24594202,2.5,0.937,1.364,145.71,1,8743000000,3776000000,608000000,35.5,2.23,16513.02,48400.2457875228,6.338917428210471,3168000000,209.78028994719975,-13.513513513513514
AUT,Austria,8797566,2.5,0.916,1.269,161.54000000000002,1,3390000000,813000000,1946000000,0.0,2.48,975.7691,54172.9867888254,3.74704755040288,-1133000000,223.79385256785793,1.090909090909091
AZE,Azerbaijan,9854033,2.5,0.753,2.51,251.58,1,3028000000,263000000,320000000,29.44444,8.52,3720.199,14121.4069355591,4.643105445256834,-57000000,55.70535209898324,2.564102564102564
BGD,Bangladesh,161793964,12.5,0.622,2.054,95.68,1,19970000000,95000000,2607000000,168.0,12.96,7943.799,4830.7760826813,5.04045834821976,-2512000000,27.74858476475673,30.08982035928144
BEL,Belgium,11375158,2.5,0.931,1.497,205.57,1,7166000000,7222000000,6769000000,0.0,2.48,526.3351,50442.2705419624,1.9333554193336617,453000000,424.39927163561157,18.963093145869948
BOL,Bolivia,11435533,12.5,0.708,2.012,149.4,1,2760000000,17000000,199000000,48.0,10.33,9905.798,8244.93344455748,6.442907141897745,-182000000,91.95298284741077,74.56140350877193
BIH,Bosnia and Herzegovina,3440027,2.5,0.772,2.019,404.13,1,1864000000,51000000,366000000,5.210526,2.88,1226.467,13402.4339719652,-4.907508073814414,-315000000,137.7262121750789,-8.728179551122196
BWA,Botswana,2401840,21.3,0.722,1.641,136.01,1,89000000,9000000,244000000,5.0,4.07,8140.749,14656.772988721,8.323809644077107,-235000000,-98.955075442161,-15.277777777777779
BRA,Brazil,208504960,2.5,0.759,2.239,145.31,1,136137000000,30140000000,2422000000,49.04348,13.41,8681.18,14477.86176806,3.362648018049535,27718000000,507.60971951170853,60.50364479787939
BGR,Bulgaria,7075947,3.0,0.808,1.616,157.51,1,3576000000,1225000000,748000000,4.4,2.48,1802.135,21473.8048126847,-2.6037853495780863,477000000,347.8640509927505,68.84875846501129
BFA,Burkina Faso,19835858,12.4,0.438,2.059,116.81,1,2641000000,75000000,57000000,74.5,12.41,3882.356,1978.15501161376,12.471076876878783,18000000,16.332715581045193,-33.72093023255814
BLR,Belarus,9458989,2.5,0.817,2.106,347.41,1,9543000000,1033000000,672000000,7.346154,4.92,1948.569,18356.1007741722,0.16708299751006303,361000000,661.4716045774026,0.14903129657228018
BEN,Benin,11596779,7.9,0.53,2.013,377.53,1,9573000000,5000000,32000000,78.0,13.63,4342.712,2933.8373843172,12.494739895215027,-27000000,447.95783588960353,-34.69387755102041
KHM,Cambodia,15830689,7.7,0.586,1.995,157.42,1,9029000000,1965000000,42000000,48.0,12.45,9920.646,3972.72416392795,5.540157081986333,1923000000,412.9278856795179,44.827586206896555
CMR,Cameroon,24393181,6.6,0.571,2.5,321.93,1,12108000000,20000000,102000000,202.0,18.91,4622.562,3691.09472365252,12.759904497095853,-82000000,174.43822684175547,75.86206896551724
CAN,Canada,36545236,2.5,0.931,1.309,213.76999999999998,1,29725000000,10728000000,4603000000,2.0,1.99,6454.269,48317.1745835151,4.168069769723496,6125000000,599.6055108326568,-4.422757475083056
CHL,Chile,18368577,2.9,0.853,1.603,161.31,1,4884000000,732000000,1941000000,60.0,1.04,11569.81,24546.9124208604,4.90380170103527,-1209000000,104.57886008970644,5.776566757493188
CHN,China,1396215000,2.5,0.747,2.178,443.29,1,1047092000000,15751000000,47853000000,25.93349,8.46,8742.565,14243.5326108474,2.4188697514744284,-32102000000,306.6604016215268,-3.7434123184616004
CYP,Cyprus,1208523,2.5,0.887,1.94,112.16,1,203000000,106000000,300000000,18.0,2.48,2849.746,38421.96875,3.560937403596328,-194000000,55.813633931667,3.0927835051546393
COL,Colombia,48351671,5.9,0.761,2.737,171.13,1,9270000000,67000000,5467000000,112.0,4.39,8615.275,14334.9146083622,4.571443834098974,-5400000000,20.590364741892785,4.7719432732847835
COG,"Congo, Rep.",5312340,28.3,0.58,2.148,315.44000000000005,1,1729000000,0,49000000,276.0,12.91,5762.769,4073.92608527555,10.030393122214983,-49000000,10.028625878614662,-23.4375
CRI,Costa Rica,4993842,3.2,0.807,1.7,100.99000000000001,1,781000000,402000000,1040000000,20.0,3.81,8994.296,20168.2204808997,4.222175148464949,-638000000,55.4026131423461,15.171650055370986
HRV,Croatia,4124531,2.5,0.852,1.658,300.09,1,2786000000,542000000,297000000,0.1285714,2.48,1073.417,27211.8237992446,-3.0819451327387877,245000000,375.3807383700111,-1.0
CIV,Cote d'Ivoire,24848016,6.0,0.534,2.481,386.38,1,14377000000,112000000,348000000,238.7143,12.84,4587.869,4750.93645090584,10.586673317528634,-236000000,192.21750251287665,14.473684210526317
DNK,Denmark,5764980,2.5,0.944,1.268,165.66,1,2634000000,415000000,804000000,0.0,2.48,1195.8,55356.680780178,2.6723030661813896,-389000000,291.23664144541704,-1.8315018315018317
DJI,Djibouti,1040233,13.5,0.499,2.188,122.38,1,41000000,6000000,98000000,72.0,18.92,5426.95,4451.68384614482,7.047058254515294,-92000000,-82.9657533840976,-8.411214953271028
SLV,El Salvador,6266654,9.2,0.674,2.229,194.07999999999998,1,1247000000,83000000,1051000000,30.0,3.69,9073.199,8617.92170824529,1.3096781223355636,-968000000,4.9097639154802835,-6.411398040961709
ESP,Spain,46593236,2.5,0.897,1.537,203.32,1,21496000000,9281000000,10774000000,0.0,2.48,958.838,39528.9253872668,-0.05750530699830941,-1493000000,258.03451935555626,7.076128006360564
EST,Estonia,1317384,2.5,0.887,1.685,182.5,1,226000000,69000000,140000000,2.0,2.48,2049.779,33821.93290847,-0.04650996929431554,-71000000,-10.94789370449314,30.8411214953271
SWZ,Eswatini,1151390,12.4,0.596,2.028,118.1,1,111000000,2000000,158000000,2.111111,2.98,8628.108,8213.92062519495,2.9572063069660803,-156000000,-21.69478543325893,12.857142857142856
FIN,Finland,5508214,2.5,0.934,1.497,140.86,1,871000000,15000000,309000000,36.0,2.48,2151.814,47570.133583848,1.2730714554147364,-294000000,17.26748015963068,7.291666666666667
FRA,France,66918020,2.5,0.898,1.897,168.41000000000003,1,30068000000,9362000000,6934000000,0.0,2.48,408.9603,44577.0645745394,1.3874230937657328,2428000000,280.9159065345926,15.106241699867198
RUS,Russian Federation,144496739,2.5,0.833,3.054,194.04000000000002,1,54621000000,6889000000,3104000000,72.0,5.06,3350.928,25926.443359375,0.6896834541061918,3785000000,183.96853069770657,-2.8482003129890456
GAB,Gabon,2140215,16.1,0.706,2.032,187.96,1,640000000,0,36000000,96.0,18.89,5254.834,14478.1303050188,12.511079125193325,-36000000,111.07537728686137,2.857142857142857
GMB,"Gambia, The",2381182,12.2,0.489,1.961,35.21,0,50000000,0,33000000,109.3333,15.6,4129.963,1927.0399420242,12.062531854904938,-33000000,-14.212025044704689,32.0
GHA,Ghana,30222262,7.1,0.616,1.777,458.4,1,30226000000,39000000,205000000,108.0,12.33,4505.975,4929.56795405121,9.79693555783731,-166000000,541.7236836607399,-18.972332015810274
GRC,Greece,10754679,2.5,0.88,2.004,219.57,1,5008000000,647000000,1366000000,24.0,2.48,1928.061,28604.8609402657,-1.9199995330687207,-719000000,246.0877848581069,30.7177033492823
GTM,Guatemala,16087418,16.3,0.64,2.298,166.61,1,4765000000,1033000000,1232000000,36.0,3.33,9111.4,8322.21680991504,6.935910115813095,-199000000,129.58420593161685,5.1194539249146755
GUY,Guyana,763252,6.1,0.695,2.029,313.74,1,289000000,2000000,66000000,72.0,9.77,7310.159,12193.6216799112,2.1182200101683124,-64000000,64.90296457788514,17.857142857142858
GEO,Georgia,3728004,8.1,0.8,2.081,120.1,1,523000000,50000000,202000000,6.0,1.23,3263.443,13589.7073915159,0.2780237503725454,-152000000,20.189549045548233,-0.9803921568627451
HTI,Haiti,10863543,44.6,0.539,2.088,122.86,1,1572000000,0,133000000,27.75,6.33,7416.732,3187.78976136778,5.8700410068758,-133000000,21.84417247853669,18.75
HND,Honduras,9626842,13.2,0.617,2.251,123.72,1,1572000000,500000000,638000000,108.0,4.32,8850.727,5447.69879159062,7.434555301023129,-138000000,39.57342478042125,-8.98716119828816
HUN,Hungary,9787966,2.5,0.845,1.487,135.36,1,8834000000,4363000000,568000000,0.0,2.48,1264.663,29501.1204204706,-1.062520254052276,3795000000,767.1768498419385,5.970149253731343
IND,India,1354195680,13.2,0.644,2.549,143.92000000000002,1,238785000000,4132000000,7376000000,106.1171,8.88,7073.011,6112.06664986172,4.884366116156159,-3244000000,32.40976055572705,31.315648922912587
IDN,Indonesia,264498852,5.9,0.704,1.809,149.7,1,63087000000,281000000,3758000000,62.56737,5.86,11576.7,10941.9209510231,4.431109790706592,-3477000000,88.81521291290898,-49.96005326231691
IRN,"Iran, Islamic Rep.",84505076,5.2,0.789,2.351,175.68,1,19611000000,3315000000,7663000000,101.0,20.92,4250.649,15163.292311303,7.706131289481803,-4348000000,56.388899624443866,39.22601744186046
IRL,Ireland,4807388,2.5,0.934,1.401,171.85,1,713000000,82000000,1676000000,24.0,2.48,1024.208,77749.2019569363,3.970140680338491,-1594000000,-23.536612355815663,12.93800539083558
ISL,Iceland,343400,2.5,0.954,1.068,115.49000000000001,1,13000000,0,53000000,36.0,1.29,2468.378,55638.4920591796,6.064911478731422,-53000000,-77.6332731508445,8.16326530612245
ISR,Israel,8713300,2.5,0.917,2.81,206.31,1,2246000000,615000000,2072000000,36.0,1.89,3169.53,39121.2958325461,8.112165767107141,-1457000000,51.456862153259976,10.802139037433154
ITA,Italy,60536709,2.5,0.888,1.713,172.91,1,21306000000,6614000000,9036000000,0.0,2.48,891.5286,41581.120790548,0.5026417992723969,-2422000000,179.04173890275402,24.944690265486727
JAM,Jamaica,2808376,9.0,0.715,2.072,157.73000000000002,1,499000000,19000000,337000000,57.71429,10.28,7816.019,9984.57711737026,1.2710191267697968,-318000000,19.952760428090812,67.66169154228857
JPN,Japan,126972000,2.5,0.922,1.377,131.9,1,13808000000,36000000,17986000000,22.6,3.69,9803.116,41444.2157443914,-0.3711404919769312,-17950000000,-23.15161452918754,0.5647190383002516
JOR,Jordan,10215381,8.8,0.718,2.07,139.06,1,1776000000,616000000,1259000000,53.0,4.84,3248.377,9629.10299858489,32.756698212588375,-643000000,34.79548321692553,29.660144181256438
KAZ,Kazakhstan,18037776,2.5,0.811,1.958,334.8,1,11104000000,585000000,483000000,133.0,4.79,5005.409,24862.9661245889,5.883138150330447,102000000,280.7969560770685,-29.796511627906973
KEN,Kenya,48948137,25.1,0.572,2.431,192.3,1,9919000000,193000000,1749000000,21.0,12.11,6300.084,4312.90891724989,9.27785063741216,-1556000000,10.343054627390615,162.21889055472263
KGZ,Kyrgyz Republic,6198200,5.8,0.696,2.203,311.38,1,3587000000,115000000,66000000,20.0,4.12,5490.014,5046.69153549095,8.367718022239318,49000000,267.3364015359298,112.90322580645163
KWT,Kuwait,4124904,2.5,0.835,1.875,228.06,1,413000000,33000000,847000000,96.0,3.88,4330.284,50007.2995366017,13.118980901780821,-814000000,-127.93645773089507,12.48339973439575
LSO,Lesotho,2170617,29.5,0.518,2.065,200.82,1,341000000,3000000,243000000,4.0,2.35,8824.5,2571.69411268488,4.6615642986606645,-240000000,-43.72181086760122,-9.328358208955224
LVA,Latvia,1942248,2.5,0.86,1.648,243.67000000000002,1,745000000,246000000,328000000,24.0,2.48,1854.7,28673.5633962664,-3.49783146274533,-82000000,139.90614475597346,39.57446808510638
LBN,Lebanon,6109252,6.8,0.75,2.823,174.34,1,1299000000,202000000,902000000,96.0,3.46,3090.419,17808.076885992,7.579015543813353,-700000000,38.28832176508678,13.316582914572864
LBY,Libya,6378261,9.67466753780317,0.714,3.311,215.68,1,1293000000,6000000,973000000,72.0,4.84,1989.087,24212.9109270915,6.56684189272209,-967000000,-12.960167744781842,-4.887585532746823
LBR,Liberia,4796631,36.6,0.481,2.044,145.02,1,720000000,0,16000000,193.0,9.67,4680.772,1533.41123787771,8.341809128923119,-16000000,5.0853551961783126,-27.27272727272727
LTU,Lithuania,2828403,2.5,0.876,1.719,168.59,1,1372000000,665000000,431000000,9.0,2.48,1756.137,33761.871239796,-4.371183041895209,234000000,316.4893893232329,-18.832391713747647
MKD,North Macedonia,2074502,2.8,0.773,2.114,348.68,1,1123000000,174000000,129000000,8.5,3.35,1590.455,15709.2874303461,0.5072595773708934,45000000,192.65473961461595,10.256410256410255
MDG,Madagascar,26169542,42.3,0.507,1.906,147.33,1,4721000000,90000000,41000000,69.81818,6.91,8581.841,1548.1564247984,10.943958838858943,49000000,33.070558787005126,78.26086956521739
MYS,Malaysia,31975806,3.2,0.805,1.635,98.53,1,1489000000,575000000,6405000000,45.0,6.22,10553.12,25935.1426975539,6.109211185590138,-5830000000,-51.96354284798951,12.11272536320672
MWI,Malawi,17881167,16.6,0.505,1.824,423.62,1,17679000000,49000000,64000000,78.11765,9.17,7492.123,1454.77749244971,11.584512107034264,-15000000,565.0738587397567,-41.81818181818181
MLI,Mali,19311355,3.1,0.426,2.67,190.56,1,7511000000,33000000,144000000,48.22222,12.82,3861.778,2153.84563800797,13.569263244784342,-111000000,198.38215346359692,111.76470588235294
MAR,Morocco,35528115,3.7,0.67,2.007,196.0,1,7546000000,1177000000,2608000000,19.0,4.34,1705.621,7921.619140625,5.101798992750076,-1431000000,16.39516929057453,16.898251904975346
MUS,Mauritius,1264613,6.0,0.805,1.528,105.28999999999999,1,89000000,0,170000000,38.0,1.25,9238.776,22148.6243877672,0.4735220906794803,-170000000,-34.9127383397134,0.0
MRT,Mauritania,4160015,8.5,0.545,2.345,60.31,0,81000000,0,203000000,61.99667,12.38,3585.317,5259.06506294936,11.142414330480243,-203000000,-40.838916362080425,9.72972972972973
MEX,Mexico,122839258,6.1,0.775,2.541,216.12,1,48522000000,9725000000,16692000000,20.38889,2.97,9276.133,20032.4086125948,4.7306160354454745,-6967000000,178.8840141076072,25.730641759566137
MNG,Mongolia,3096030,6.3,0.732,1.787,87.34,0,203000000,1000000,97000000,134.0,5.06,7128.626,11431.4980163967,8.817698028893348,-96000000,-21.772159895091463,6.593406593406594
MNE,Montenegro,622373,2.5,0.83,1.933,156.48000000000002,1,78000000,2000000,84000000,7.606061,1.77,2077.5,19685.8088500286,0.1876991083487469,-82000000,-31.15322650564856,20.0
MOZ,Mozambique,28569441,31.4,0.445,2.082,224.12,1,7115000000,189000000,339000000,66.0,7.16,8198.455,1287.23486734661,13.138544838767688,-150000000,24.92232462931284,52.702702702702695
MMR,Myanmar,52288341,3.0,0.58,2.188,118.12,1,11926000000,2036000000,153000000,141.6667,2.08,8799.023,4312.94738940376,3.2380275331465,1883000000,109.96143788688954,302.6315789473684
NAM,Namibia,2364534,19.9,0.635,1.822,101.3,1,179000000,35000000,153000000,120.0,6.05,7775.102,10335.2674233219,7.258937360229711,-118000000,-25.597980067108352,-24.63054187192118
NIC,Nicaragua,6480532,17.2,0.659,1.978,131.52,1,1077000000,103000000,305000000,60.0,3.48,8964.235,5915.37544335424,5.901791668729785,-202000000,34.67005970497482,23.481781376518217
NER,Niger,21737922,18.0932359543377,0.39,2.454,164.32,1,5335000000,181000000,40000000,48.0,13.27,3647.055,1155.97355904554,16.537233104091154,141000000,81.10364260944539,-62.616822429906534
NGA,Nigeria,193495907,10.0,0.526,2.84,377.73,1,143893000000,28000000,1252000000,135.4286,11.48,4320.865,5120.00559777914,10.742402840358336,-1224000000,365.9188049331193,96.54631083202511
NOR,Norway,5276968,2.5,0.959,1.473,127.25,1,534000000,8000000,533000000,2.0,3.62,1614.931,64050.7561654659,3.885032412838512,-525000000,-26.055526203683627,8.55397148676171
NZL,New Zealand,4813600,2.5,0.935,1.239,174.19,1,1651000000,628000000,231000000,37.0,2.13,18894.29,42218.5377148394,8.363161567726976,397000000,168.7965381419312,-39.37007874015748
NPL,Nepal,28183426,4.2,0.594,2.033,271.14,1,9178000000,14000000,1167000000,30.28571,12.65,7226.911,3495.52880048305,2.928507895187107,-1153000000,54.51238874791164,61.634349030470915
OMN,Oman,4541854,8.4,0.831,1.922,225.89,1,794000000,136000000,667000000,52.0,3.66,5495.837,34218.3881261022,19.00012576375279,-531000000,-51.07152278783067,38.095238095238095
UGA,Uganda,40127085,18.0932359543377,0.52,2.114,212.51999999999998,1,10370000000,816000000,125000000,64.0,11.71,5867.333,2128.39686875661,13.759636464355607,691000000,45.908938957315286,26.262626262626267
UZB,Uzbekistan,32388600,2.5,0.715,2.117,381.02,1,15396000000,405000000,287000000,111.6805,13.66,5147.519,6840.70986001707,7.093826050153424,118000000,94.33243882106672,141.1764705882353
PAK,Pakistan,216379655,12.1,0.543,3.082,62.08,0,15864000000,689000000,1453000000,75.0,12.55,6070.6,4891.71977393238,5.377531949074179,-764000000,11.235580431995785,10.075757575757576
PAN,Panama,4096063,6.7,0.811,1.822,79.83,0,261000000,32000000,610000000,24.0,7.37,8779.016,30526.3798548751,7.183121220780227,-578000000,-16.110276939099812,8.348134991119005
PNG,Papua New Guinea,9114796,23.1,0.552,2.065,196.1,1,1813000000,0,26000000,42.0,4.72,14488.95,3966.94743172774,10.5409691706889,-26000000,2.807358979838938,73.33333333333333
PRY,Paraguay,6355404,7.8,0.724,1.956,296.85999999999996,1,8760000000,2014000000,129000000,120.0,8.11,10023.99,13604.1747171995,5.823714061354204,1885000000,1081.4945467762554,37.234042553191486
NLD,Netherlands,17131296,2.5,0.937,1.51,159.25,1,13066000000,14163000000,10953000000,0.0,2.48,660.9895,55088.6338006744,1.9451059101551305,3210000000,603.4476966599608,16.807081156020047
PHL,Philippines,106738501,7.5,0.704,2.514,102.94,1,18360000000,18000000,1928000000,42.46154,3.7,10992.87,8001.75648006143,7.05956514169037,-1910000000,69.06916096807467,38.90489913544668
POL,Poland,37974826,2.5,0.875,1.672,230.65,1,19924000000,4560000000,2088000000,0.0,2.48,1352.006,29958.1207092074,-0.17184454044348246,2472000000,294.01336514616287,13.787465940054497
PRT,Portugal,10300300,2.5,0.859,1.249,242.43,1,3982000000,1631000000,3299000000,0.0,2.48,1339.212,33044.7167387479,-1.5012964633779577,-1668000000,144.1606818248012,12.020373514431238
PER,Peru,31605486,7.6,0.77,2.048,215.0,1,11181000000,694000000,3572000000,48.0,1.38,10147.58,12442.7464624852,5.215509709456191,-2878000000,138.7676971649795,25.377325377325377
ROU,Romania,19588715,2.5,0.823,1.593,328.23,1,21399000000,4139000000,1416000000,0.375,2.48,1758.84,26948.1590499284,-1.976501540531072,2723000000,764.1846887634028,-3.2125768967874233
GBR,United Kingdom,66058859,2.5,0.93,1.758,179.07999999999998,1,10139000000,1162000000,7246000000,24.0,2.62,749.6503,46372.38660351,3.010506769767525,-6084000000,-25.595665673244497,8.278541542139868
RWA,Rwanda,12230339,34.7,0.526,2.102,391.75,1,4435000000,53000000,387000000,97.33333,11.5,6026.371,1934.97295529462,10.169835200223396,-334000000,-29.127181450162595,47.14828897338403
KOR,"Korea, Rep.",51361911,2.5,0.916,1.777,229.38,1,11184000000,217000000,11327000000,13.375,5.36,9225.815,40957.4180587145,1.8501655390293814,-11110000000,-11.63109264334031,-6.735282009057225
MDA,Moldova,2755189,2.63502534327451,0.765,1.944,168.5,1,2402000000,342000000,86000000,3.0,5.34,1973.171,11651.1863520107,-3.649829798871014,256000000,703.309520145442,-7.526881720430108
DOM,Dominican Republic,10647244,6.2,0.757,2.11,88.58,0,997000000,98000000,1495000000,16.0,6.32,7237.327,16524.5338420587,4.826135066172258,-1397000000,5.0592553791384915,7.631389488840893
COD,"Congo, Dem. Rep.",84283273,36.4,0.475,3.038,465.96999999999997,1,41576000000,1000000,191000000,515.0385,11.65,6036.588,1023.53983315292,14.733526961556409,-190000000,27.318864090505883,89.10891089108911
LAO,Lao PDR,6997917,5.6,0.607,1.813,277.65,1,5190000000,2081000000,35000000,13.0,1.95,9356.402,7211.25908924885,6.017126559408018,2046000000,463.99926505987423,59.09090909090909
TZA,Tanzania,56267032,23.0,0.528,1.825,281.06,1,22070000000,291000000,155000000,96.0,12.17,6761.231,2458.3427734375,14.239330479574882,136000000,111.17678974217085,210.0
SRB,Serbia,7020858,4.0,0.802,1.88,183.34,1,5848000000,1952000000,145000000,3.666667,2.78,1429.045,16614.0141902782,-1.99987939920705,1807000000,649.60662846051,-13.690476190476192
SLE,Sierra Leone,7677565,27.2,0.466,1.721,258.21999999999997,1,4897000000,1000000,41000000,54.85714,12.88,4514.964,1593.48352865022,10.232884829398555,-40000000,379.6124377585863,10.81081081081081
SVK,Slovak Republic,5439232,4.4,0.856,1.612,133.16,1,1342000000,724000000,536000000,0.0,2.48,1247.716,30061.5514717196,0.4773161675126857,188000000,113.56600837765333,-11.11111111111111
SVN,Slovenia,2066388,2.5,0.913,1.357,169.44,1,448000000,503000000,724000000,0.0,2.48,946.8857,36507.5530416531,0.31238576802480444,-221000000,47.36342704274318,55.36480686695279
LKA,Sri Lanka,21444000,4.3,0.771,2.145,90.44,0,1482000000,59000000,932000000,43.0,10.35,8431.747,13584.1931075112,4.172941462229779,-873000000,-21.329759373251264,17.528373266078184
CHE,Switzerland,8451840,2.5,0.957,1.362,136.8,1,1066000000,17000000,675000000,1.0,4.8,473.7304,69103.570264696,4.481128635120812,-658000000,-10.673618052400442,6.80379746835443
SWE,Sweden,10057698,2.5,0.941,1.458,142.27,1,1386000000,133000000,921000000,1.83,2.48,1616.322,51947.9542478244,4.76355152228886,-788000000,-4.465106673515152,2.106430155210643
SEN,Senegal,15157793,8.5,0.509,1.926,144.61,1,2589000000,101000000,687000000,61.45455,13.17,4034.425,3259.19257987366,11.490709544567693,-586000000,26.193229731399526,17.636986301369863
TJK,Tajikistan,8925525,3.5,0.665,2.191,283.07,1,3684000000,66000000,47000000,74.5,5.08,5320.022,3236.43934350302,9.695868426777245,19000000,129.67882990076214,9.30232558139535
TCD,Chad,15085884,29.1,0.393,2.557,86.39,0,1735000000,0,12000000,106.0,18.16,4144.735,1579.76060047631,14.142022337385713,-12000000,28.61817585499132,-77.77777777777779
CZE,Czechia,10594438,2.5,0.897,1.432,152.35,1,1634000000,686000000,1278000000,0.0,2.48,1036.729,38824.8879170919,0.7624493640643879,-592000000,1.8818714782228199,5.532617671345995
THA,Thailand,70898202,7.7,0.79,2.261,55.38,0,38578000000,30619000000,3266000000,51.0,7.96,9475.635,17008.0384242563,1.8965600947256744,27353000000,488.75227573810685,-39.93010851572558
