iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,30466479,21.1,0.466,3.252,48.07,0,1842000000,32000000,105000000,48.0,6.95,5500.665,1958.44762747924,15.593688233017097,-73000000,12.389891016615344,208.82352941176472
ZAF,South Africa,53145033,3.9,0.696,2.321,177.26999999999998,1,17356000000,1487000000,630000000,92.0,7.12,8769.679,13138.029852918,5.158845008972101,857000000,149.30802658622866,63.212435233160626
ALB,Albania,2900401,5.1,0.778,1.927,309.28000000000003,1,1575000000,50000000,90000000,14.0,1.65,1499.451,10521.0427082996,-1.57955324834841,-40000000,233.74836056117755,-28.57142857142857
DZA,Algeria,37260563,3.2,0.729,2.255,247.32999999999998,1,10505000000,9000000,3726000000,80.0,14.23,1233.811,13347.3627953184,7.9183871787012095,-3717000000,34.60347481088786,18.96551724137931
DEU,Germany,80425823,2.5,0.933,1.424,167.5,1,20247000000,6666000000,9396000000,36.0,2.28,789.5815,43359.6148271723,-2.047342017221812,-2730000000,84.24750154561676,11.116367076631978
AGO,Angola,25188292,15.1,0.541,2.105,371.43,1,13208000000,0,412000000,312.0,7.73,6384.805,7389.31496018756,16.723208251258125,-412000000,152.9406083763044,41.0958904109589
SAU,Saudi Arabia,30821543,5.4,0.837,2.178,135.57,1,2932000000,648000000,3328000000,69.0,4.15,4410.786,54263.0441518291,12.818868496853872,-2680000000,-40.44173208687182,2.305564094681832
ARG,Argentina,41733271,2.8,0.843,1.763,130.20999999999998,1,28900000000,19032000000,75000000,21.0,11.17,10932.34,19641.3528638347,3.6600911257369106,18957000000,562.2830470942476,-66.66666666666666
ARM,Armenia,2914421,3.2,0.755,2.238,418.57,1,1726000000,7000000,62000000,50.53846,4.69,3402.57,9267.39700562965,-2.2966369579479116,-55000000,173.65740983543554,-15.068493150684931
AUS,Australia,22733465,2.5,0.93,1.494,157.86,1,6163000000,2223000000,545000000,35.5,2.76,16513.02,42847.2967465311,7.126430468154261,1678000000,113.23813660170151,21.11111111111111
AUT,Austria,8429991,2.5,0.906,1.328,159.81,1,3676000000,939000000,1381000000,0.0,2.28,975.7691,46457.3457770311,1.3078798146510264,-442000000,276.2521500070403,-1.9176136363636365
AZE,Azerbaijan,9295784,2.5,0.734,2.36,255.52999999999997,1,2850000000,116000000,234000000,33.66667,9.21,3720.199,15957.7188502849,6.20400172468041,-118000000,51.0606006421836,7.339449541284404
BGD,Bangladesh,152090649,15.3,0.572,2.071,82.21000000000001,0,14189000000,34000000,1219000000,168.0,13.53,7943.799,3493.92282116642,4.627111931713017,-1185000000,11.083046569878192,-46.157243816254415
BEL,Belgium,11106932,2.5,0.915,1.376,206.10000000000002,1,5895000000,6649000000,5920000000,0.0,2.28,526.3351,42290.7620520019,3.735838580046491,729000000,324.64962554916156,35.53113553113553
BOL,Bolivia,10569697,16.7,0.674,2.021,151.06,1,2735000000,98000000,58000000,48.0,9.29,9905.798,5814.07013496348,7.096006735349215,40000000,107.69860017557738,-34.831460674157306
BIH,Bosnia and Herzegovina,3674374,2.5,0.745,1.923,349.59000000000003,1,1584000000,19000000,243000000,5.210526,3.15,1226.467,10104.3995073966,-6.712233612017937,-224000000,81.50384074675031,-18.456375838926174
BWA,Botswana,2175425,20.3,0.674,1.621,89.44,0,51000000,11000000,164000000,8.0,7.01,8140.749,12069.4687672148,8.546363277252352,-153000000,-65.99630508981004,17.985611510791365
BRA,Brazil,199977707,3.0,0.732,2.017,153.6,1,112434000000,20250000000,2367000000,61.04348,13.75,8681.18,14994.3434693981,3.829233119774172,17883000000,408.63266926447955,15.576171875
BGR,Bulgaria,7305888,3.7,0.798,1.699,113.35,1,2254000000,961000000,369000000,4.4,2.28,1802.135,16319.7809828349,-2.4740177312136313,592000000,195.16828005028273,-4.896907216494846
BFA,Burkina Faso,17113732,12.2,0.395,1.881,111.65,1,2833000000,62000000,55000000,74.5,12.33,3882.356,1568.0668585351,12.982363576952993,7000000,53.88957956102152,61.76470588235294
BLR,Belarus,9446836,2.5,0.806,2.208,328.35,1,9850000000,286000000,291000000,7.346154,7.5,1948.569,18105.2867180444,-0.8487543030490788,-5000000,714.3271460836198,-1.6891891891891893
BEN,Benin,10014078,7.6,0.509,2.231,364.55,1,8280000000,21000000,37000000,138.0,13.09,4342.712,2427.43265922317,12.808043608050685,-16000000,462.28598030692393,60.86956521739131
KHM,Cambodia,14786640,9.5,0.555,2.207,208.17,1,9317000000,253000000,21000000,48.0,12.36,9920.646,2867.53737709384,6.144840267708053,232000000,421.9258162232935,31.25
CMR,Cameroon,21032684,5.2,0.533,2.113,307.14,1,10074000000,15000000,65000000,202.0,18.88,4622.562,3022.35801139264,12.358204909021357,-50000000,171.8288277539852,10.16949152542373
CAN,Canada,34714222,2.5,0.921,1.317,230.97000000000003,1,26496000000,7063000000,4005000000,2.0,3.23,6454.269,42290.9654102745,4.4607707282292495,3058000000,532.2906601409646,-15.130324221233312
CHL,Chile,17341771,3.1,0.824,1.616,164.17000000000002,1,4954000000,679000000,1125000000,60.0,2.71,11569.81,21584.6812677939,4.124200132181199,-446000000,121.49863211375583,43.8618925831202
CHN,China,1354190000,2.5,0.709,2.061,403.03999999999996,1,916693000000,14819000000,39575000000,25.93349,8.13,8742.565,11168.6972979775,2.241090838730238,-24756000000,273.89085903750583,31.169003347585427
CYP,Cyprus,1156556,2.5,0.86,1.957,128.25,1,195000000,78000000,248000000,18.0,2.28,2849.746,31908.14453125,5.975194459680056,-170000000,40.35402782052924,0.8130081300813009
COL,Colombia,45782417,10.7,0.734,2.625,147.6,1,8500000000,51000000,3950000000,112.0,5.52,8615.275,12095.6484973702,4.542274890223384,-3899000000,38.06079637079887,-3.564453125
COG,"Congo, Rep.",4713257,32.9,0.575,2.148,306.03999999999996,1,1485000000,2000000,41000000,276.0,18.2,5762.769,6062.8227764881,15.763476697716495,-39000000,9.028751820662478,17.142857142857142
CRI,Costa Rica,4736593,5.0,0.786,1.659,81.43,0,700000000,404000000,751000000,20.0,4.4,8994.296,14174.6021029438,5.285382787776358,-347000000,66.35554965562798,-1.1842105263157896
HRV,Croatia,4267558,2.5,0.83,1.648,105.91000000000001,1,1629000000,130000000,211000000,0.1285714,2.28,1073.417,21453.1160758153,-0.9778393988052111,-81000000,275.80713190541286,-0.4716981132075472
CIV,Cote d'Ivoire,22010712,10.0,0.477,2.481,336.49,1,9528000000,47000000,277000000,238.7143,12.88,4587.869,3483.68978873195,8.912552919864565,-230000000,96.39013581750555,42.78350515463917
DNK,Denmark,5591572,2.5,0.931,1.239,163.34,1,2038000000,390000000,781000000,0.0,2.28,1195.8,44803.9682421214,1.7935020044171517,-391000000,201.13710947833633,10.0
DJI,Djibouti,954297,19.8,0.478,1.881,99.53,1,41000000,3000000,63000000,72.0,19.27,5426.95,3730.36651230337,8.253736725551205,-60000000,-56.56643624573901,8.620689655172415
SLV,El Salvador,6161289,10.7,0.664,2.22,176.62,1,1236000000,90000000,864000000,14.0,4.1,9073.199,6622.57462932175,1.5418262774251583,-774000000,23.987372905247582,6.798516687268233
ESP,Spain,46773055,2.5,0.874,1.548,193.71,1,19797000000,7344000000,9394000000,0.0,2.28,958.838,31720.1199986535,1.8107603139669193,-2050000000,229.54650954379608,30.762806236080177
EST,Estonia,1322696,2.5,0.874,1.715,183.53000000000003,1,218000000,17000000,99000000,2.0,2.28,2049.779,25996.0467779508,-1.0736342751439567,-82000000,-18.715106781906087,2.0618556701030926
SWZ,Eswatini,1111444,16.2,0.531,2.028,102.88,1,108000000,1000000,111000000,2.722222,8.53,8628.108,8027.30547972388,1.9902067143415918,-110000000,-5.70911239792558,18.085106382978726
