iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,34636207,22.2,0.481,3.465,96.35000000000001,1,3640000000,175000000,598000000,48.0,6.95,5500.665,2023.83465629732,13.686281240441339,-423000000,8.74233877716459,3.4602076124567476
ZAF,South Africa,56422274,5.4,0.719,2.293,169.43,1,12768000000,2031000000,3630000000,92.0,6.48,8769.679,13696.1635674374,6.166598861647145,-1599000000,56.863608797121486,690.8496732026144
ALB,Albania,2876101,4.7,0.798,1.881,340.58000000000004,1,1763000000,125000000,117000000,9.0,1.44,1499.451,12082.7424870898,-0.8378151848658169,8000000,272.40264560250137,28.57142857142857
DZA,Algeria,40339329,2.8,0.743,2.28,276.7,1,13181000000,15000000,4696000000,80.0,12.24,1233.811,11685.4514179182,8.26280053793068,-4681000000,50.0530801020513,0.04260758414997869
DEU,Germany,82348669,2.5,0.941,1.46,168.05,1,19050000000,5983000000,10027000000,36.0,2.48,789.5815,50579.6839299266,2.3908316113843187,-4044000000,63.28342932355105,-3.4286814986034866
AGO,Angola,29154746,15.4,0.596,2.079,345.46,1,13877000000,7000000,420000000,312.0,10.9,6384.805,7027.14663413223,15.747213030561976,-413000000,130.5173931832574,-33.649289099526065
SAU,Saudi Arabia,33416270,3.7,0.864,2.178,111.33,1,1877000000,220000000,4906000000,69.0,5.08,4410.786,44160.2880081304,8.418549973309252,-4686000000,-55.15975718115756,21.315529179030662
ARG,Argentina,43590368,2.6,0.847,2.096,131.73000000000002,1,46809000000,25895000000,167000000,21.0,12.58,10932.34,20307.870052142,4.449919585742512,25728000000,942.1081469961437,145.58823529411765
ARM,Armenia,2865835,2.7,0.765,2.198,425.17,1,1784000000,53000000,56000000,38.53846,4.92,3402.57,10966.8533270074,-1.667089277767351,-3000000,197.33618057215432,-34.883720930232556
AUS,Australia,24190907,2.5,0.935,1.377,145.98000000000002,1,6794000000,2482000000,701000000,35.5,2.3,16513.02,47249.4348152753,6.410998059468717,1781000000,134.8693290474805,8.012326656394453
AUT,Austria,8736668,2.5,0.915,1.23,162.9,1,3633000000,765000000,1781000000,0.0,2.48,975.7691,52684.0171130768,3.6379279645731533,-1016000000,252.93358781631625,2.0630372492836675
AZE,Azerbaijan,9757812,2.5,0.75,2.487,250.39000000000001,1,2887000000,160000000,331000000,29.44444,8.52,3720.199,14371.0227410092,4.970296211701993,-171000000,45.47550755435745,-0.6006006006006006
BGD,Bangladesh,159784568,13.3,0.612,2.103,92.63,1,18011000000,77000000,2628000000,168.0,12.96,7943.799,4558.56389477538,5.058771890703156,-2551000000,20.0905225475842,30.486593843098316
BEL,Belgium,11331422,2.5,0.927,1.44,206.51999999999998,1,5944000000,6886000000,6187000000,0.0,2.48,526.3351,48597.3999826201,2.021170202536578,699000000,318.03905357685915,8.107635855320636
BOL,Bolivia,11263015,13.1,0.701,2.017,163.07,1,2782000000,59000000,241000000,48.0,10.05,9905.798,7345.82684281583,6.559487939909725,-182000000,83.9331337079814,121.10091743119267
BIH,Bosnia and Herzegovina,3480986,2.5,0.77,1.923,417.38,1,2475000000,72000000,436000000,5.210526,2.6,1226.467,12720.5612031591,-5.263155029945237,-364000000,293.6254450089716,15.343915343915343
BWA,Botswana,2352416,20.1,0.713,1.633,134.54,1,81000000,15000000,282000000,8.0,8.34,8140.749,15277.0423219562,8.135927462449866,-267000000,-100.10731462462421,2.9197080291970803
BRA,Brazil,206859578,2.5,0.755,2.182,148.92000000000002,1,104391000000,22611000000,4333000000,49.04348,13.56,8681.18,14208.1611051807,3.4413190866319914,18278000000,355.7266835584475,120.8460754332314
BGR,Bulgaria,7127822,3.5,0.809,1.622,157.85000000000002,1,3099000000,1503000000,432000000,4.4,2.48,1802.135,20080.8180795806,-2.4372944123972338,1071000000,276.92516694440457,8.270676691729323
BFA,Burkina Faso,19275498,12.3,0.427,2.039,114.28,1,2728000000,75000000,69000000,74.5,10.88,3882.356,1833.43305343067,12.631762610282784,6000000,27.246823327729317,-18.823529411764707
BLR,Belarus,9469379,2.5,0.813,2.18,341.14,1,9013000000,937000000,586000000,7.346154,5.04,1948.569,17785.9431970966,0.2386301614635842,351000000,610.6647593194865,-2.6578073089700998
BEN,Benin,11260085,7.6,0.53,1.99,387.18,1,9238000000,1000000,36000000,78.0,10.58,4342.712,2901.26467091701,12.442553373360983,-35000000,433.2400945197127,-2.7027027027027026
KHM,Cambodia,15624584,8.5,0.581,2.094,172.79999999999998,1,8927000000,862000000,29000000,48.0,12.45,9920.646,3708.36910865107,5.666899309106058,833000000,398.54321144166147,-12.121212121212121
