iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,38972230,29.8,0.483,3.644,107.25999999999999,1,4777000000,421000000,537000000,48.0,8.38,5500.665,2076.13838003855,12.518758188504878,-116000000,15.31445878770603,-42.99363057324841
ZAF,South Africa,58801927,6.9,0.727,2.317,156.44,1,20787000000,3831000000,461000000,92.0,7.11,8769.679,13517.7805856267,4.217577263901132,3370000000,197.068822933643,35.19061583577713
ALB,Albania,2837849,3.9,0.794,1.872,390.02,1,1967000000,136000000,119000000,9.0,1.45,1499.451,13759.5424343063,-1.3299950175602318,17000000,303.1106070196124,3.4782608695652173
DZA,Algeria,43451666,2.5,0.736,2.287,304.87,1,15054000000,11000000,5487000000,80.0,12.52,1233.811,11438.6911555723,7.7153911013244665,-5476000000,41.58391962646493,16.447368421052634
DEU,Germany,83160871,2.5,0.944,1.494,166.04,1,19749000000,6118000000,12346000000,36.0,1.71,789.5815,54844.5459733622,0.9862964512516894,-6228000000,71.4394751728851,3.9838288553861707
AGO,Angola,33428486,20.8,0.59,2.087,347.67,1,14396000000,0,332000000,164.0,10.51,6384.805,6362.63607638387,14.65881404008802,-332000000,82.98067320129303,-11.229946524064172
SAU,Saudi Arabia,35997107,3.7,0.87,2.178,128.08,1,2258000000,146000000,4992000000,37.0,4.7,4410.786,45240.6760912869,7.723294670530254,-4846000000,-65.35273694522175,6.2353692274952115
ARG,Argentina,45376763,3.7,0.84,1.978,130.91,1,66495000000,38354000000,163000000,21.0,12.19,10932.34,20763.2885528852,4.098141589444714,38191000000,1334.4876089039228,-8.426966292134832
ARM,Armenia,2805608,3.5,0.757,2.135,313.99,1,1237000000,73000000,132000000,26.53846,4.81,3402.57,14089.2393754604,-2.1015515547824632,-59000000,126.91264926532858,21.100917431192663
AUS,Australia,25655289,2.5,0.947,1.386,139.87,1,5834000000,1943000000,675000000,35.5,1.97,16513.02,53358.2080781655,6.053439831751658,1268000000,87.52950425037113,9.93485342019544
AUT,Austria,8916864,2.5,0.913,1.275,166.54000000000002,1,4041000000,955000000,1894000000,0.0,1.71,975.7691,55685.9702933361,2.0625254387599483,-939000000,286.6462322897377,-0.4729374671571204
AZE,Azerbaijan,10093121,2.5,0.73,2.3,282.16999999999996,1,3563000000,312000000,308000000,11.94444,9.11,3720.199,14478.5244519377,3.4363133866485644,4000000,70.84271034004252,17.110266159695815
BGD,Bangladesh,167420951,11.4,0.655,2.121,111.59,1,21772000000,52000000,4606000000,168.0,12.53,7943.799,5897.58894780473,4.779174294228464,-4554000000,18.453461525911422,38.11094452773613
BEL,Belgium,11538604,2.5,0.928,1.496,229.2,1,6473000000,7836000000,7906000000,0.0,1.71,526.3351,53096.1414224062,1.8283848223109154,-70000000,331.7864070211613,5.413333333333333
BOL,Bolivia,11936162,13.9,0.694,2.074,184.06,1,3060000000,23000000,169000000,48.0,9.95,9905.798,8100.52934584379,5.976614609853578,-146000000,72.30381275656276,48.24561403508772
BIH,Bosnia and Herzegovina,3318407,2.5,0.781,2.04,382.33,1,2715000000,28000000,315000000,5.210526,2.95,1226.467,15336.9107044169,-4.670487040166206,-287000000,435.83365503086276,-14.168937329700274
BWA,Botswana,2546402,21.9,0.713,1.693,149.18,1,196000000,21000000,372000000,5.0,7.69,8140.749,14287.5105895124,8.246245562009442,-351000000,-72.20864983612172,34.78260869565217
BRA,Brazil,213196304,4.1,0.758,2.413,142.09,1,141263000000,35567000000,3111000000,49.04348,13.55,8681.18,14789.8785635061,3.0632983308126054,32456000000,520.5059144207303,25.798625151637687
BGR,Bulgaria,6934015,3.0,0.802,1.628,133.68,1,3705000000,2793000000,485000000,4.4,1.71,1802.135,24799.074537596,-2.7190213223618658,2308000000,400.6424668536194,4.978354978354979
