iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,33753499,21.5,0.478,3.425,59.83,0,2390000000,165000000,330000000,48.0,6.95,5500.665,2128.12593822669,15.399903662180758,-165000000,10.977473915519099,121.47651006711409
ZAF,South Africa,55876504,5.2,0.716,2.412,177.11,1,15456000000,1681000000,1040000000,92.0,6.35,8769.679,13581.7552823481,6.5464556261449856,641000000,99.50000409044918,163.29113924050634
ALB,Albania,2880703,4.9,0.795,1.928,319.63,1,1686000000,118000000,107000000,8.0,1.24,1499.451,11659.0625206413,-0.8430415170066036,11000000,265.64380295712544,-4.464285714285714
DZA,Algeria,39543154,2.8,0.74,2.279,273.12,1,12445000000,12000000,5103000000,80.0,12.26,1233.811,12071.8141810043,8.208326062326583,-5091000000,41.599458139327965,30.74558032282859
DEU,Germany,81686611,2.5,0.938,1.459,167.48000000000002,1,18268000000,6201000000,9964000000,36.0,2.73,789.5815,47609.7810045816,1.7584905623710938,-3763000000,56.15518055608891,4.0192086856665625
AGO,Angola,28127721,14.5,0.582,2.014,340.37,1,13383000000,0,526000000,312.0,10.91,6384.805,7274.09047477931,15.947039444273123,-526000000,135.4239685195256,3.7475345167652856
SAU,Saudi Arabia,32749848,3.7,0.859,2.178,107.96,1,1817000000,232000000,3965000000,69.0,5.08,4410.786,47079.0500529542,8.619640279931524,-3733000000,-52.478826469057196,17.411904056855196
ARG,Argentina,43131966,2.5,0.848,2.082,131.82,1,41124000000,17835000000,75000000,21.0,12.48,10932.34,20105.1989918165,4.53322456363064,17760000000,821.6259894547816,-9.63855421686747
ARM,Armenia,2878595,2.8,0.766,2.255,472.61,1,1897000000,29000000,75000000,38.53846,6.36,3402.57,10132.318975243,-1.7200892052375985,-46000000,186.3920478740497,-27.184466019417474
AUS,Australia,23815995,2.5,0.933,1.344,145.01,1,5834000000,1816000000,703000000,35.5,2.5,16513.02,46251.4086848715,6.606846080380219,1113000000,99.95142193513226,17.362270450751254
AUT,Austria,8642699,2.5,0.91,1.248,156.31,1,2803000000,606000000,1925000000,0.0,2.73,975.7691,49865.9039424185,2.991738328239178,-1319000000,168.00998383838197,11.529548088064889
AZE,Azerbaijan,9649341,2.5,0.748,2.469,254.45,1,2841000000,120000000,312000000,33.66667,8.52,3720.199,14938.4011276715,5.1919191390636215,-192000000,39.974251355610704,24.8
