iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,36686784,24.0,0.483,3.565,67.28999999999999,0,2324000000,490000000,942000000,48.0,8.38,5500.665,2109.92929586357,12.136411888785407,-452000000,-3.9429374719790005,57.52508361204013
ZAF,South Africa,57339635,5.7,0.726,2.326,169.82999999999998,1,17853000000,3217000000,341000000,92.0,6.76,8769.679,14324.5450396186,4.7690579445828085,2876000000,141.52531295237583,-90.6060606060606
ALB,Albania,2866376,4.6,0.806,1.832,352.3,1,1828000000,127000000,115000000,9.0,1.47,1499.451,13495.5418221278,-0.7866798841440115,12000000,285.4390823813763,-1.7094017094017095
DZA,Algeria,41927007,2.5,0.745,2.262,282.2,1,13804000000,7000000,4712000000,80.0,12.47,1233.811,12006.0102379705,8.170343843710894,-4705000000,47.038860288787134,0.34071550255536626
DEU,Germany,82905782,2.5,0.945,1.529,160.26,1,16190000000,6168000000,11873000000,36.0,2.46,789.5815,55235.366304833,2.3749353255332943,-5705000000,35.02191652543607,18.410292211030217
AGO,Angola,31273533,15.7,0.595,2.085,346.8,1,14792000000,1000000,374000000,164.0,8.54,6384.805,7042.92382920461,15.279948785655384,-373000000,126.18781368897464,-10.952380952380953
SAU,Saudi Arabia,35018133,3.8,0.865,2.178,113.03,1,1798000000,160000000,4699000000,50.0,4.54,4410.786,46935.9844107265,9.00394775948525,-4539000000,-61.685172450227434,-4.219323277619242
ARG,Argentina,44494502,3.4,0.85,1.955,130.88,1,50682000000,24370000000,178000000,21.0,12.47,10932.34,23290.6757386443,4.277064413691278,24192000000,1008.1820800745226,6.58682634730539
ARM,Armenia,2836557,2.9,0.771,2.322,287.07,1,1114000000,58000000,109000000,38.53846,4.6,3402.57,13547.5313985863,-1.846861342662279,-51000000,105.6596366686797,94.64285714285714
AUS,Australia,24966643,2.5,0.941,1.375,144.03,1,6938000000,1809000000,614000000,35.5,2.22,16513.02,50192.9573282841,6.351068931489372,1195000000,133.86078411542954,-12.410841654778887
AUT,Austria,8840521,2.5,0.917,1.25,157.17000000000002,1,3440000000,743000000,1903000000,0.0,2.46,975.7691,56960.0914258929,3.4419932893036522,-1160000000,231.94733822022476,6.850084222346996
AZE,Azerbaijan,9939771,2.5,0.757,2.51,248.54,1,3123000000,308000000,263000000,17.44444,8.52,3720.199,14549.0618972126,4.244243807523776,45000000,65.6523490993907,-20.54380664652568
BGD,Bangladesh,163683958,11.5,0.635,2.126,97.32,1,19687000000,65000000,3335000000,168.0,12.96,7943.799,5246.92358804758,4.9516508579477785,-3270000000,22.95446208259456,26.90258751902588
BEL,Belgium,11427054,2.5,0.933,1.563,199.42000000000002,1,5566000000,7648000000,7500000000,0.0,2.46,526.3351,52535.23221854,1.9448290788422256,148000000,287.66967333137654,21.221916922579602
BOL,Bolivia,11606905,12.1,0.714,2.033,156.96,1,3191000000,26000000,114000000,48.0,9.95,9905.798,8668.55385326589,6.3196741005554005,-88000000,117.96255687455007,-52.69709543568465
BIH,Bosnia and Herzegovina,3400129,2.5,0.776,2.044,410.1,1,2498000000,24000000,367000000,5.210526,2.95,1226.467,14581.3623416022,-4.7867752728315445,-343000000,324.5780078049979,-15.825688073394495
BWA,Botswana,2451409,21.5,0.716,1.682,133.38,1,91000000,15000000,276000000,5.0,3.21,8140.749,15319.5268585675,8.45138154006236,-261000000,-96.25849151243224,-2.127659574468085
BRA,Brazil,210166592,2.5,0.764,2.223,145.79,1,119717000000,24364000000,2473000000,49.04348,13.46,8681.18,14968.8547543947,3.296448214670575,21891000000,423.83906835354696,-42.9263789522271
BGR,Bulgaria,7025037,2.8,0.809,1.621,162.26,1,4456000000,1634000000,462000000,4.4,2.46,1802.135,23011.5409053762,-2.753359732600141,1172000000,472.04270901064297,6.944444444444445
BFA,Burkina Faso,20392723,12.7,0.449,2.067,109.96,1,2948000000,55000000,84000000,74.5,12.17,3882.356,2100.2222623551,12.23390385012704,-29000000,34.60137123031585,21.73913043478261
BLR,Belarus,9438785,2.5,0.818,2.112,319.59000000000003,1,9103000000,875000000,600000000,7.346154,5.14,1948.569,19428.0074589115,-0.10297914540009726,275000000,644.8349763078617,2.3890784982935154
BEN,Benin,11940683,8.1,0.53,1.956,370.46000000000004,1,9140000000,1000000,23000000,78.0,13.42,4342.712,3112.79745336659,12.49042378766942,-22000000,394.9903515418674,-36.11111111111111
KHM,Cambodia,16025238,6.6,0.591,2.082,168.65,1,9527000000,721000000,58000000,48.0,12.45,9920.646,4318.38123497473,5.354222590410496,663000000,425.84975095533684,100.0
CMR,Cameroon,25076747,6.9,0.577,2.566,321.82,1,12387000000,29000000,101000000,202.0,18.91,4622.562,3821.67110906348,12.453873020506883,-72000000,172.14359105110407,26.25
CAN,Canada,37065084,2.5,0.933,1.315,211.81,1,28455000000,10991000000,5697000000,2.0,1.99,6454.269,49992.7622757708,4.59302147573604,5294000000,555.8936425979771,19.96209728363866
CHL,Chile,18701450,2.7,0.856,1.646,162.51999999999998,1,4723000000,667000000,2311000000,60.0,1.05,11569.81,25564.536716881,5.734922860198513,-1644000000,90.02726237805092,28.818283166109254
CHN,China,1402760000,2.5,0.755,2.167,448.21000000000004,1,1062445000000,16550000000,37982000000,25.93349,7.56,8742.565,15495.548422109,2.252416427332235,-21432000000,309.1861333371353,-15.68361933092104
CYP,Cyprus,1218831,2.5,0.892,1.907,120.5,1,200000000,97000000,319000000,18.0,2.46,2849.746,40668.6171875,3.554475592504641,-222000000,43.59165831850356,15.579710144927535
COL,Colombia,49276961,6.2,0.763,2.704,176.16,1,8870000000,71000000,5991000000,112.0,3.2,8615.275,15161.3179744309,5.567969816667387,-5920000000,3.842983544378882,16.014717273431447
COG,"Congo, Rep.",5441062,29.3,0.578,2.148,314.93,1,1772000000,2000000,50000000,276.0,12.91,5762.769,3876.86979474298,10.0346804490561,-48000000,10.741716293620641,-1.9607843137254901
CRI,Costa Rica,5040734,3.2,0.811,1.766,103.19,1,792000000,437000000,1082000000,20.0,3.47,8994.296,21144.4097740325,4.055208938857475,-645000000,53.92997498776964,10.071210579857578
HRV,Croatia,4087843,2.5,0.856,1.627,351.17999999999995,1,3583000000,590000000,329000000,0.1285714,2.46,1073.417,28903.7260829857,-3.5519627858603826,261000000,525.3213724842172,22.304832713754646
CIV,Cote d'Ivoire,25493988,5.2,0.542,2.481,387.38,1,14114000000,78000000,407000000,238.7143,12.51,4587.869,5067.86155405383,10.864851924643698,-329000000,166.2407203047244,20.77151335311573
DNK,Denmark,5793636,2.5,0.942,1.278,166.66,1,2256000000,494000000,1227000000,0.0,2.46,1195.8,57482.9623999067,2.660789673029472,-733000000,222.73277510703124,50.73710073710074
DJI,Djibouti,1057198,13.1,0.506,2.238,112.77,1,42000000,9000000,85000000,72.0,18.92,5426.95,4699.01907441073,6.886249642346932,-76000000,-73.04234255078046,1.1904761904761905
SLV,El Salvador,6276342,8.4,0.68,2.249,188.62,1,975000000,88000000,1237000000,24.0,3.47,9073.199,9022.7253783054,1.0760241602982257,-1149000000,-33.274736787765875,-1.1191047162270185
ESP,Spain,46797754,2.5,0.901,1.664,185.42000000000002,1,20976000000,9809000000,13558000000,0.0,2.46,958.838,40696.3876815487,0.6817254457434779,-3749000000,262.8066392528154,47.03394425767271
EST,Estonia,1321977,2.5,0.891,1.701,193.36,1,232000000,79000000,159000000,2.0,2.46,2049.779,36249.3581462876,0.5653667238474148,-80000000,-17.865267489525166,26.190476190476193
SWZ,Eswatini,1160428,11.8,0.607,2.028,122.55000000000001,1,141000000,1000000,162000000,2.111111,2.08,8628.108,8542.31278306286,3.069906249861218,-161000000,-1.0431077154291444,1.8867924528301887
FIN,Finland,5515525,2.5,0.936,1.475,146.0,1,868000000,21000000,372000000,36.0,2.46,2151.814,49580.6051952837,0.9889752141897702,-351000000,11.373958054763591,21.172638436482085
FRA,France,67158348,2.5,0.901,1.921,164.18,1,26963000000,10140000000,6779000000,0.0,2.46,408.9603,46537.4740442591,1.2762096527619928,3361000000,237.30396741385005,4.549660703269587
RUS,Russian Federation,144477859,2.5,0.841,3.064,201.53,1,52935000000,6654000000,3284000000,66.0,4.92,3350.928,28821.26171875,0.4576508997201335,3370000000,164.85831974939495,36.94745621351126
GAB,Gabon,2192012,17.0,0.706,2.096,185.67999999999998,1,650000000,0,36000000,96.0,18.89,5254.834,14595.0023399153,11.447564767102811,-36000000,110.85122336921515,-7.6923076923076925
GMB,"Gambia, The",2444916,13.1,0.495,1.961,36.010000000000005,0,47000000,0,41000000,109.3333,14.25,4129.963,2060.67178303268,11.690031013892524,-41000000,-16.786435673045624,10.81081081081081
GHA,Ghana,30870641,6.2,0.62,1.734,476.29999999999995,1,32409000000,40000000,250000000,108.0,12.39,4505.975,5247.69225822335,9.484497962467351,-210000000,573.5324281637043,-3.8461538461538463
GRC,Greece,10732882,2.5,0.886,2.016,219.12,1,4827000000,644000000,1448000000,24.0,2.46,1928.061,29617.5483399732,-1.464606602779384,-804000000,230.61940829685818,29.86547085201794
GTM,Guatemala,16346950,16.2,0.64,2.265,165.98,1,4842000000,1044000000,1291000000,36.0,3.33,9111.4,8671.44337480881,6.7987228278836005,-247000000,130.22204380633698,3.8616251005631534
