iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,31541209,20.7,0.474,3.377,52.87,0,1821000000,78000000,149000000,48.0,6.95,5500.665,2062.05917625276,15.175663358457147,-71000000,4.863994914399129,-5.095541401273886
ZAF,South Africa,53873616,4.3,0.704,2.334,172.34,1,16959000000,3547000000,395000000,92.0,6.4,8769.679,13559.8405739033,5.281993068739485,3152000000,142.4523094674024,-2.4691358024691357
ALB,Albania,2895092,5.0,0.785,1.968,304.11,1,1573000000,61000000,112000000,14.0,1.67,1499.451,10574.0936621426,-1.107661470344001,-51000000,239.22333793882888,25.842696629213485
DZA,Algeria,38000626,3.0,0.731,2.409,260.74,1,11984000000,13000000,3903000000,80.0,14.23,1233.811,13104.7371038263,7.96847951944135,-3890000000,54.62322585843714,3.5828025477707004
DEU,Germany,80645605,2.5,0.934,1.536,157.87,1,17708000000,6275000000,9579000000,36.0,2.21,789.5815,44993.8927459315,-1.5343914549317885,-3304000000,61.70799188188866,8.310719131614654
AGO,Angola,26147002,14.3,0.552,2.124,378.79,1,20861000000,0,507000000,312.0,7.7,6384.805,7643.9219442902,16.16927630993767,-507000000,419.04525468809,34.48275862068966
SAU,Saudi Arabia,31482498,4.6,0.845,2.178,144.78,1,3006000000,247000000,3377000000,69.0,4.15,4410.786,53368.0005152896,10.527743193788384,-3130000000,-49.298377163082804,11.932383162081537
ARG,Argentina,42202935,2.6,0.845,2.117,130.09,1,39669000000,21070000000,83000000,21.0,12.17,10932.34,20131.6804246983,3.732632936045315,20987000000,809.8683228038524,-17.0
ARM,Armenia,2901385,3.2,0.76,2.305,426.18,1,1771000000,18000000,103000000,50.53846,4.63,3402.57,9822.94744066856,-2.122291431085155,-85000000,184.2181374412565,19.767441860465116
AUS,Australia,23128129,2.5,0.929,1.42,161.35999999999999,1,6350000000,1760000000,599000000,35.5,2.77,16513.02,45907.7546796056,6.62225234748131,1161000000,113.197444746179,7.347670250896058
AUT,Austria,8479823,2.5,0.905,1.294,162.84,1,2883000000,740000000,1726000000,0.0,2.21,975.7691,47922.0491207455,1.6360387821495106,-986000000,177.1435114482932,9.517766497461928
AZE,Azerbaijan,9416801,2.5,0.741,2.496,252.97,1,2893000000,122000000,250000000,33.66667,9.05,3720.199,17188.9455056612,5.248074742130062,-128000000,54.24685634006707,-9.420289855072465
BGD,Bangladesh,154030139,15.0,0.574,2.168,83.75999999999999,0,14907000000,45000000,1896000000,168.0,12.86,7943.799,3734.72565095224,4.991812581842656,-1851000000,13.01976074539543,32.494758909853246
BEL,Belgium,11159407,2.5,0.916,1.454,220.6,1,6651000000,6550000000,5579000000,0.0,2.21,526.3351,43671.11959259,3.361406338150731,971000000,375.39941107981815,9.370711625171534
BOL,Bolivia,10743349,16.5,0.682,2.165,149.64000000000001,1,2660000000,67000000,83000000,48.0,9.93,9905.798,6500.87680686824,6.884988305512602,-16000000,97.95504694485862,-44.666666666666664
BIH,Bosnia and Herzegovina,3617559,2.5,0.751,1.921,374.6,1,1964000000,20000000,343000000,5.210526,2.99,1226.467,10791.4599935277,-6.7098446263941725,-323000000,168.30752410672494,27.509293680297397
BWA,Botswana,2217278,19.7,0.687,1.676,96.07,1,50000000,9000000,279000000,8.0,4.59,8140.749,12833.2783556398,8.212847554193587,-270000000,-73.51982812258994,75.47169811320755
BRA,Brazil,201721767,2.8,0.75,2.111,155.19,1,120424000000,27095000000,2794000000,61.04348,14.81,8681.18,15535.723765174,3.703633958496979,24301000000,441.79069172673866,30.438842203548084
BGR,Bulgaria,7265115,3.2,0.805,1.685,119.99000000000001,1,3388000000,2265000000,330000000,4.4,2.21,1802.135,16651.9352006304,-2.4088840494849646,1935000000,346.34811027079405,-7.042253521126761
BFA,Burkina Faso,17636408,11.8,0.402,1.91,115.61,1,2976000000,84000000,61000000,74.5,12.33,3882.356,1629.31783621598,12.69254445776498,23000000,53.13184357721822,90.625
BLR,Belarus,9443211,2.5,0.808,2.234,328.28,1,9032000000,426000000,374000000,7.346154,7.45,1948.569,18994.1901887615,-0.6457095487513761,52000000,628.1743246995117,17.61006289308176
BEN,Benin,10308730,7.5,0.52,2.126,364.58000000000004,1,8805000000,8000000,31000000,138.0,13.1,4342.712,2590.92504537631,12.387181965598526,-23000000,489.55043119763536,34.78260869565217
