iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
AFG,Afghanistan,29249157,20.2,0.456,3.167,47.760000000000005,0,1791000000,82000000,157000000,48.0,6.95,5500.665,1749.93699491677,12.916716676380357,-75000000,13.472533983799941,361.7647058823529
ZAF,South Africa,52443325,3.8,0.686,2.312,177.92,1,15414000000,2969000000,405000000,92.0,7.11,8769.679,13281.5038939992,4.894844385243375,2564000000,115.9972907133558,4.922279792746114
ALB,Albania,2905195,5.4,0.766,1.907,306.84,1,1561000000,42000000,89000000,14.0,2.15,1499.451,10203.1200485548,-2.1825464298689203,-47000000,230.47333008627646,-29.365079365079367
DZA,Algeria,36543541,3.8,0.727,2.534,237.07,1,9665000000,11000000,3768000000,80.0,14.23,1233.811,13543.5987190283,7.532153456407367,-3757000000,27.40902243518218,20.306513409961685
DEU,Germany,80274983,2.5,0.931,1.602,165.39,1,20873000000,5213000000,8844000000,36.0,2.3,789.5815,42541.5310884096,-2.4206598049565136,-3631000000,94.6287408323712,4.588457899716178
AGO,Angola,24259111,16.4,0.526,2.137,390.77000000000004,1,18546000000,0,377000000,312.0,7.84,6384.805,6700.11409977804,16.018544326160068,-377000000,373.7262752344881,29.10958904109589
SAU,Saudi Arabia,30150945,5.4,0.828,2.178,129.13,1,2810000000,801000000,3017000000,69.0,4.83,4410.786,52626.8334688706,14.207830828314533,-2216000000,-35.932257773346734,-7.254841684598831
ARG,Argentina,41261490,2.9,0.841,2.007,127.65,1,31156000000,17076000000,100000000,21.0,11.35,10932.34,19322.2271236942,3.4742079035741473,16976000000,627.4366437445667,-55.55555555555556
ARM,Armenia,2928976,3.4,0.75,2.304,391.97,1,1549000000,4000000,86000000,50.53846,4.27,3402.57,7881.77173468477,-2.5102241950370674,-82000000,136.8837700547905,17.80821917808219
AUS,Australia,22340024,2.5,0.926,1.408,149.64,1,6187000000,1530000000,558000000,35.5,2.8,16513.02,42018.1179436528,7.261520302221733,972000000,127.30688242053816,24.0
